state,time,commodity,country,total_import_values
Alabama,2018,212 Minerals & Ores,World Total,"170,795,840"
Alabama,2018,311 Food & Kindred Products,World Total,"202,956,955"
Alabama,2018,312 Beverages & Tobacco Products,World Total,"28,351,108"
Alabama,2018,313 Textiles & Fabrics,World Total,"139,655,496"
Alabama,2018,314 Textile Mill Products,World Total,"194,414,290"
Alabama,2018,315 Apparel & Accessories,World Total,"1,008,113,653"
Alabama,2018,316 Leather & Allied Products,World Total,"299,489,497"
Alabama,2018,321 Wood Products,World Total,"263,173,993"
Alabama,2018,322 Paper,World Total,"181,691,747"
Alabama,2018,"323 Printed Matter And Related Products, Nesoi",World Total,"24,172,145"
Alabama,2018,324 Petroleum & Coal Products,World Total,"63,123,008"
Alabama,2018,325 Chemicals,World Total,"1,499,384,631"
Alabama,2018,326 Plastics & Rubber Products,World Total,"794,716,123"
Alabama,2018,327 Nonmetallic Mineral Products,World Total,"277,435,077"
Alabama,2018,331 Primary Metal Mfg,World Total,"1,899,116,441"
Alabama,2018,"332 Fabricated Metal Products, Nesoi",World Total,"1,380,197,008"
Alabama,2018,"333 Machinery, Except Electrical",World Total,"2,381,650,391"
Alabama,2018,334 Computer & Electronic Products,World Total,"1,535,079,568"
Alabama,2018,"335 Electrical Equipment, Appliances & Components",World Total,"1,132,677,190"
Alabama,2018,336 Transportation Equipment,World Total,"8,291,559,406"
Alabama,2018,337 Furniture & Fixtures,World Total,"362,525,291"
Alabama,2018,339 Miscellaneous Manufactured Commodities,World Total,"472,798,628"
Alabama,2018,910 Waste And Scrap,World Total,"287,976,161"
Alabama,2018,930 Used Or Second-hand Merchandise,World Total,"9,039,092"
Alabama,2018,980 Goods Returned (exports For Canada Only),World Total,"481,902,214"
Alabama,2018,990 Other Special Classification Provisions,World Total,"9,761,300"
Alaska,2014,111 Agricultural Products,World Total,"1,282,100"
Alaska,2014,112 Livestock & Livestock Products,World Total,"285,891"
Alaska,2014,"113 Forestry Products, Nesoi",World Total,"5,946"
Alaska,2014,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"12,621,088"
Alaska,2014,211 Oil & Gas,World Total,"315,948,053"
Alaska,2014,212 Minerals & Ores,World Total,"92,816,806"
Alaska,2014,311 Food & Kindred Products,World Total,"12,002,829"
Alaska,2014,312 Beverages & Tobacco Products,World Total,"916,077"
Alaska,2014,313 Textiles & Fabrics,World Total,"437,116"
Alaska,2014,314 Textile Mill Products,World Total,"2,320,046"
Alaska,2014,315 Apparel & Accessories,World Total,"7,693,483"
Alaska,2014,316 Leather & Allied Products,World Total,"1,652,546"
Alaska,2014,321 Wood Products,World Total,"9,365,410"
Alaska,2014,322 Paper,World Total,"11,025,282"
Alaska,2014,"323 Printed Matter And Related Products, Nesoi",World Total,"1,604,987"
Alaska,2014,324 Petroleum & Coal Products,World Total,"785,666,241"
Alaska,2014,325 Chemicals,World Total,"47,799,395"
Alaska,2014,326 Plastics & Rubber Products,World Total,"9,924,119"
Alaska,2014,327 Nonmetallic Mineral Products,World Total,"14,579,358"
Alaska,2014,331 Primary Metal Mfg,World Total,"55,442,847"
Alaska,2014,"332 Fabricated Metal Products, Nesoi",World Total,"51,097,192"
Alaska,2014,"333 Machinery, Except Electrical",World Total,"117,396,657"
Alaska,2014,334 Computer & Electronic Products,World Total,"215,598,116"
Alaska,2014,"335 Electrical Equipment, Appliances & Components",World Total,"16,704,085"
Alaska,2014,336 Transportation Equipment,World Total,"81,990,423"
Alaska,2014,337 Furniture & Fixtures,World Total,"7,073,874"
Alaska,2014,339 Miscellaneous Manufactured Commodities,World Total,"14,536,322"
Alaska,2014,910 Waste And Scrap,World Total,"109,211"
Alaska,2014,930 Used Or Second-hand Merchandise,World Total,"1,660,137"
Alaska,2014,980 Goods Returned (exports For Canada Only),World Total,"125,902,323"
Alaska,2014,990 Other Special Classification Provisions,World Total,"125,274"
Alaska,2015,111 Agricultural Products,World Total,"1,120,671"
Alaska,2015,112 Livestock & Livestock Products,World Total,"580,490"
Alaska,2015,"113 Forestry Products, Nesoi",World Total,"180,933"
Alaska,2015,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"6,018,004"
Alaska,2015,211 Oil & Gas,World Total,"35,109,196"
Alaska,2015,212 Minerals & Ores,World Total,"75,632,276"
Alaska,2015,311 Food & Kindred Products,World Total,"13,800,906"
Alaska,2015,312 Beverages & Tobacco Products,World Total,"637,073"
Alaska,2015,313 Textiles & Fabrics,World Total,"363,134"
Alaska,2015,314 Textile Mill Products,World Total,"3,309,457"
Alaska,2015,315 Apparel & Accessories,World Total,"7,300,794"
Alaska,2015,316 Leather & Allied Products,World Total,"1,084,114"
Alaska,2015,321 Wood Products,World Total,"13,089,332"
Alaska,2015,322 Paper,World Total,"9,934,749"
Alaska,2015,"323 Printed Matter And Related Products, Nesoi",World Total,"1,278,697"
Alaska,2015,324 Petroleum & Coal Products,World Total,"766,605,457"
Alaska,2015,325 Chemicals,World Total,"51,531,537"
Alaska,2015,326 Plastics & Rubber Products,World Total,"9,641,564"
Alaska,2015,327 Nonmetallic Mineral Products,World Total,"11,606,528"
Alaska,2015,331 Primary Metal Mfg,World Total,"41,629,277"
Alaska,2015,"332 Fabricated Metal Products, Nesoi",World Total,"46,604,280"
Alaska,2015,"333 Machinery, Except Electrical",World Total,"198,759,313"
Alaska,2015,334 Computer & Electronic Products,World Total,"556,197,385"
Alaska,2015,"335 Electrical Equipment, Appliances & Components",World Total,"14,866,502"
Alaska,2015,336 Transportation Equipment,World Total,"453,907,800"
Alaska,2015,337 Furniture & Fixtures,World Total,"8,490,540"
Alaska,2015,339 Miscellaneous Manufactured Commodities,World Total,"8,521,702"
Alaska,2015,910 Waste And Scrap,World Total,"59,625"
Alaska,2015,930 Used Or Second-hand Merchandise,World Total,"8,283,842"
Alaska,2015,980 Goods Returned (exports For Canada Only),World Total,"139,222,160"
Alaska,2015,990 Other Special Classification Provisions,World Total,"8,289,307"
Alaska,2016,111 Agricultural Products,World Total,"1,571,568"
Alaska,2016,112 Livestock & Livestock Products,World Total,"864,613"
Alaska,2016,"113 Forestry Products, Nesoi",World Total,"672,568"
Alaska,2016,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"5,975,723"
Alaska,2016,211 Oil & Gas,World Total,"70,738,080"
Alaska,2016,212 Minerals & Ores,World Total,"150,785,863"
Alaska,2016,311 Food & Kindred Products,World Total,"15,842,447"
Alaska,2016,312 Beverages & Tobacco Products,World Total,"555,844"
Alaska,2016,313 Textiles & Fabrics,World Total,"615,366"
Alaska,2016,314 Textile Mill Products,World Total,"3,852,212"
Alaska,2016,315 Apparel & Accessories,World Total,"11,797,448"
Alaska,2016,316 Leather & Allied Products,World Total,"4,290,669"
Alaska,2016,321 Wood Products,World Total,"13,213,663"
Alaska,2016,322 Paper,World Total,"7,835,227"
Alaska,2016,"323 Printed Matter And Related Products, Nesoi",World Total,"1,408,253"
Alaska,2016,324 Petroleum & Coal Products,World Total,"518,110,994"
Alaska,2016,325 Chemicals,World Total,"31,053,130"
Alaska,2016,326 Plastics & Rubber Products,World Total,"9,880,115"
Alaska,2016,327 Nonmetallic Mineral Products,World Total,"26,416,209"
Alaska,2016,331 Primary Metal Mfg,World Total,"30,463,475"
Alaska,2016,"332 Fabricated Metal Products, Nesoi",World Total,"36,081,042"
